id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt
01HN6C87K34PM146WKF9TH65EK,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:17.763873801Z,true,2024-01-27T21:12:17.779572276Z,all games finished,2024-01-27T21:46:09.926344709Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:17.763873801Z,ended,2024-01-27T21:46:09.926344709Z
01HN6C88PRJWJW6RK92Z0Q73VT,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:18.90421271Z,true,2024-01-27T21:12:18.919303517Z,all games finished,2024-01-27T21:51:21.150642367Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:18.90421271Z,ended,2024-01-27T21:51:21.150642367Z
01HN6C89DP08KGF2FDNMTNGC08,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:19.638120214Z,true,2024-01-27T21:12:19.645824643Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:19.638120214Z,running,2024-01-27T21:51:37.372977169Z
01HN6C89MENFY3GZADGM5QDKB7,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:19.854479369Z,true,2024-01-27T21:12:19.861754232Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:19.854479369Z,running,2024-01-27T21:12:44.835521514Z
01HN6C89V79EHHG9WSTS2DQXYV,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:20.071056201Z,true,2024-01-27T21:12:20.079214034Z,all games finished,2024-01-27T21:52:37.174604594Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:20.071056201Z,ended,2024-01-27T21:52:37.174604594Z
01HN6C8A9817X0FDS4F0J0BM99,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:20.521021217Z,true,2024-01-27T21:12:20.535058624Z,all games finished,2024-01-27T22:15:29.715773177Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:20.521021217Z,ended,2024-01-27T22:15:29.715773177Z
01HN6C8APBQB1ENWYKBH2CDQ2T,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:20.939983472Z,true,2024-01-27T21:12:20.950256079Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:20.939983472Z,running,2024-01-27T21:12:42.070915224Z
01HN6C8B3B80VZB8A0YCEH0ETH,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:21.355078148Z,true,2024-01-27T21:12:21.363139057Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:21.355078148Z,running,2024-01-27T21:12:40.568296154Z
01HN6C8BGANH07JEJFW88H0ZVR,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:21.770168794Z,true,2024-01-27T21:12:21.779046328Z,all games finished,2024-01-27T22:17:32.215376009Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:21.770168794Z,ended,2024-01-27T22:17:32.215376009Z
01HN6C8BVQQ06BYATNZP9K7TV5,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:22.135782036Z,true,2024-01-27T21:12:22.142889596Z,all games finished,2024-01-27T22:27:32.165153189Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:22.135782036Z,ended,2024-01-27T22:27:32.165153189Z
01HN6C8E6AB7YP4587HB22QQFZ,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2024-01-27T21:12:24.522202686Z,true,2024-01-27T21:12:24.529762585Z,all games finished,2024-01-27T22:32:33.5353374Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Two Players"",""desc"":""Two-player Game"",""factors"":{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}},""count"":1}]}}",2024-01-27T21:12:24.522202686Z,ended,2024-01-27T22:32:33.5353374Z
