id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN6DQF8AYJV5XJ239WNBE0BS,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:05.70632962Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:05.70632962Z,01HN6DQBGDMHDG7SCM1HMY5Y0A,2024-01-27T21:38:05.70632962Z,01HN6DQCRZW3XSDQGQA0EQ4D6G,2024-01-27T21:38:05.70632962Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:05.70632962Z,true,2024-01-27T21:38:14.231916001Z
01HN6DQF8GZS11D94C663EDSZZ,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:05.712037788Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:05.712037788Z,01HN6DQBGDMHDG7SCM1HMY5Y0A,2024-01-27T21:38:05.712037788Z,01HN6DQCRZW3XSDQGQA0EQ4D6G,2024-01-27T21:38:05.712037788Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:05.712037788Z,true,2024-01-27T21:38:17.989718426Z
01HN6DQVAXY0HDAXGGY4Q86YQ4,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:18.077437444Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:18.077437444Z,01HN6DQBGDMHDG7SCM1Z8GSDS5,2024-01-27T21:38:18.077437444Z,01HN6DQC38M99K9ZV2SMKP19V8,2024-01-27T21:38:18.077437444Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:18.077437444Z,true,2024-01-27T21:38:25.452286689Z
01HN6DQVB8C65ZERY3CH84F54W,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:18.08854013Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:18.08854013Z,01HN6DQBGDMHDG7SCM1Z8GSDS5,2024-01-27T21:38:18.08854013Z,01HN6DQC38M99K9ZV2SMKP19V8,2024-01-27T21:38:18.08854013Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:18.08854013Z,true,2024-01-27T21:38:22.449787209Z
01HN6DR2N8GGD4V0V5M06MEMJZ,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:25.576536438Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:25.576536438Z,01HN6DQBGK248BWVV3MX9R3B50,2024-01-27T21:38:25.576536438Z,01HN6DQCT4JBHDT132W80XP9N5,2024-01-27T21:38:25.576536438Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:25.576536438Z,true,2024-01-27T21:38:29.281371699Z
01HN6DR2NGKXT1EB878HMHK8FY,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:25.584452886Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:25.584452886Z,01HN6DQBGK248BWVV3MX9R3B50,2024-01-27T21:38:25.584452886Z,01HN6DQCT4JBHDT132W80XP9N5,2024-01-27T21:38:25.584452886Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:25.584452886Z,true,2024-01-27T21:38:29.761961341Z
01HN6DR6TTDD39FTZFJNWHGZVE,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:29.850457302Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:29.850457302Z,01HN6DQBGQM0VSD9CMZQJCHPKV,2024-01-27T21:38:29.850457302Z,01HN6DQCTKQ68AQ0EG9S3K0K2K,2024-01-27T21:38:29.850457302Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:29.850457302Z,true,2024-01-27T21:38:32.695150827Z
01HN6DR6V8HN3ZQ9Y22VJAY70T,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:29.864691455Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:29.864691455Z,01HN6DQBGQM0VSD9CMZQJCHPKV,2024-01-27T21:38:29.864691455Z,01HN6DQCTKQ68AQ0EG9S3K0K2K,2024-01-27T21:38:29.864691455Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:29.864691455Z,true,2024-01-27T21:38:34.34584987Z
01HN6DRBA0YXMVG88NJSWE2N13,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:34.432952323Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:34.432952323Z,01HN6DQBH1VXSPA44DDV1MAMBP,2024-01-27T21:38:34.432952323Z,01HN6DQCTESMD898JSX6GFQJGY,2024-01-27T21:38:34.432952323Z,01HN6DJBKAA6M1H62AF81BYGZ1,2024-01-27T21:38:34.432952323Z,true,2024-01-27T21:38:39.2706765Z
01HN6DRBA6CEXQTX79TR2HCVA7,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:34.438724068Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:34.438724068Z,01HN6DQBH1VXSPA44DDV1MAMBP,2024-01-27T21:38:34.438724068Z,01HN6DQCTESMD898JSX6GFQJGY,2024-01-27T21:38:34.438724068Z,01HN6DM2QFV4W4XX6PP7SQQ7VB,2024-01-27T21:38:34.438724068Z,true,2024-01-27T21:38:39.018882662Z
