id,participantID,participantIDLastChangedAt,treatment,treatmentLastChangedAt,introDone,introDoneLastChangedAt,role,roleLastChangedAt,intro,introLastChangedAt,ended,endedLastChangedAt,exitSurvey,exitSurveyLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,gameID,gameIDLastChangedAt,roomCode,roomCodeLastChangedAt,urlParams,urlParamsLastChangedAt
01HN6DJBKAA6M1H62AF81BYGZ1,01HN6DJB68JPSC4G7BR5KNSQMG,2024-01-27T21:35:18.122792978Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:35:18.132582732Z,true,2024-01-27T21:38:01.205890299Z,guesser,2024-01-27T21:38:01.745416295Z,2,2024-01-27T21:37:18.112160013Z,game ended,2024-01-27T21:46:09.926344709Z,"{""age"":""20"",""gender"":""Male"",""nativeLanguage"":""English"",""strength"":""It was fun my partner was fairly smart."",""fair"":""Yes the pay was fair in my opinion"",""feedback"":""Thank you for allowing me to take this survey I encountered no issues."",""taskCorrectly"":""Yes"",""enjoyment"":""yesEnjoy""}",2024-01-27T21:47:16.089768486Z,611622ddd8be1ac51298cb89,2024-01-27T21:35:18.122792978Z,,,,,,,,
01HN6DM2QFV4W4XX6PP7SQQ7VB,,,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:36:14.581609469Z,true,2024-01-27T21:37:03.392018726Z,,,2,2024-01-27T21:36:42.470019419Z,,,"{""age"":""52"",""gender"":""female"",""nativeLanguage"":""English"",""strength"":""Yes"",""fair"":""Yes"",""feedback"":""It was interesting."",""taskCorrectly"":""Yes"",""enjoyment"":""BetterEnjoy""}",2024-01-27T21:46:48.15826833Z,644eef3e0a26e06facf8ee84,2024-01-27T21:36:14.575709786Z,true,2024-01-27T21:46:48.1620032Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:36:14.581609469Z,ufv-wxpn-fgs,2024-01-27T21:38:01.745416295Z,,
01HN6DQRX91EGHRVTYMMDE2VWF,01HN6DQRPSSZBQX9V44KQEGJ5F,2024-01-27T21:38:15.593432216Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:38:15.606724759Z,,,guesser,2024-01-27T21:39:33.272877776Z,2,2024-01-27T21:38:38.648147034Z,,,"{""age"":""41"",""gender"":""Male"",""nativeLanguage"":""English"",""strength"":""Yes"",""fair"":""Yes"",""feedback"":""None, was fun. "",""taskCorrectly"":""Yes"",""enjoyment"":""yesEnjoy""}",2024-01-27T21:51:52.104182289Z,6580d346a0f8984f8d5b8ee4,2024-01-27T21:38:15.593432216Z,,,,,dip-hjcd-zwj,2024-01-27T21:39:33.272877776Z,,
01HN6DQS9FCYA8P478TRG73AWD,01HN6DQRVBMH5FJ51PQ8YMBYN1,2024-01-27T21:38:15.983113719Z,,,true,2024-01-27T21:39:33.219528736Z,director,2024-01-27T21:39:33.272877776Z,,,game ended,2024-01-27T21:51:21.150642367Z,"{""age"":""48"",""gender"":""Male"",""nativeLanguage"":""English"",""strength"":""Yes"",""fair"":""Yes"",""feedback"":""No comments or concerns."",""taskCorrectly"":""Yes"",""enjoyment"":""yesEnjoy""}",2024-01-27T21:51:51.391900161Z,,,true,2024-01-27T21:51:51.384912023Z,01HN6C88Q370AA57RYFG23GYJZ,2024-01-27T21:38:15.989850411Z,dip-hjcd-zwj,2024-01-27T21:39:33.272877776Z,,
01HN6DRND87TKT2QXHY74MXB7R,01HN6DRN844ZQ1WK2KHY2K7R9J,2024-01-27T21:38:44.776049947Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:39:33.232014526Z,true,2024-01-27T21:39:43.270347621Z,director,2024-01-27T21:40:59.689517864Z,2,2024-01-27T21:39:22.083250264Z,,,,,61002c021b78913c84e9e269,2024-01-27T21:38:44.776049947Z,,,01HN6C89MN0NVFRDJW6GH3Q5NF,2024-01-27T21:39:33.232014526Z,oxs-crnr-wae,2024-01-27T21:40:59.689517864Z,{},2024-01-27T21:38:44.830710582Z
01HN6DSJF58HYCGK1PCGA8ZMAR,01HN6DSJ23XH4QHJHZ3XNA6569,2024-01-27T21:39:14.533225352Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:39:33.232014526Z,true,2024-01-27T21:40:59.636828902Z,guesser,2024-01-27T21:40:59.689517864Z,2,2024-01-27T21:40:29.378897166Z,,,,,601387b4aa37e127b0544497,2024-01-27T21:39:14.533225352Z,,,01HN6C89MN0NVFRDJW6GH3Q5NF,2024-01-27T21:39:33.232014526Z,oxs-crnr-wae,2024-01-27T21:40:59.689517864Z,{},2024-01-27T21:39:14.728271505Z
01HN6DVZJEVCQC2K4DY7X76CJB,01HN6DVZ26W9TA6BBXE8X71037,2024-01-27T21:40:33.486224685Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:40:59.648493386Z,true,2024-01-27T21:41:33.552740746Z,guesser,2024-01-27T21:44:35.4416195Z,2,2024-01-27T21:41:14.905883854Z,game ended,2024-01-27T21:52:37.174604594Z,"{""age"":""21"",""gender"":""Male"",""nativeLanguage"":""English"",""strength"":""Yes"",""fair"":""Yes"",""feedback"":""Nope"",""taskCorrectly"":""Yes"",""enjoyment"":""BetterEnjoy""}",2024-01-27T21:53:11.981111525Z,,,true,2024-01-27T21:53:11.989614558Z,01HN6C89VCDS9DKQVZMBS35R77,2024-01-27T21:40:59.648493386Z,,,{},2024-01-27T21:40:33.698534796Z
01HN6E17ANBZ6J4G82HXYKB92H,01HN6E16YNQR0P0EJW9J5AJ5K6,2024-01-27T21:43:25.269421295Z,"{""managementToken"":""eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE3MDYzMzE4NDgsImV4cCI6MTcwNjQxODI0OCwianRpIjoiand0X25vbmNlIiwidHlwZSI6Im1hbmFnZW1lbnQiLCJ2ZXJzaW9uIjoyLCJuYmYiOjE3MDYzMzE4NDgsImFjY2Vzc19rZXkiOiI2NGMxYWJhYTkxYzAyM2I0ZTJkNzZlODQifQ.Woks_IUkqw99cNzsmD0eZ6dHkZoNt0yytqJTWYqr_tE"",""playerCount"":2,""templateId"":""659dec5a25eb923ccf71537f""}",2024-01-27T21:43:25.281064835Z,,,director,2024-01-27T21:44:35.4416195Z,,,,,"{""age"":""43"",""gender"":""female"",""nativeLanguage"":""English"",""strength"":""Yes."",""fair"":""Yes."",""feedback"":""It was fun!"",""taskCorrectly"":""Yes"",""enjoyment"":""BetterEnjoy""}",2024-01-27T21:53:16.294221424Z,65b512e4190746b1c9c18b53,2024-01-27T21:43:25.269421295Z,true,2024-01-27T21:53:16.286148139Z,,,rhi-ckpv-rqg,2024-01-27T21:44:35.4416195Z,,
01HN6E3JCYT40DQV07X6K4G454,,,,,true,2024-01-27T21:47:59.884695469Z,,,2,2024-01-27T21:47:30.575977396Z,,,,,,,,,01HN6C8A9KRAEBTQP8P9G9JWXP,2024-01-27T21:44:42.155011001Z,,,,
01HN6E3PDT8718REF4MFNERQ7A,01HN6E3P0Q6ZGNK6SGK8WGK4ZJ,2024-01-27T21:44:46.266347841Z,,,true,2024-01-27T21:46:07.879308199Z,,,2,2024-01-27T21:45:41.586248634Z,game ended,2024-01-27T22:15:29.715773177Z,,,,,true,2024-01-27T22:17:46.994961665Z,,,,,{},2024-01-27T21:44:46.455953666Z
