id,instructions,instructionsLastChangedAt,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,stageIndex,stageIndexLastChangedAt,name,nameLastChangedAt,index,indexLastChangedAt,start,startLastChangedAt,batchID,batchIDLastChangedAt,label,labelLastChangedAt,guesserOrder,guesserOrderLastChangedAt,decision,decisionLastChangedAt,target,targetLastChangedAt,verb,verbLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt
01HN6DQBGDMHDG7SCM1HMY5Y0A,train,2024-01-27T21:38:01.86919123Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.86919123Z,true,2024-01-27T21:38:18.013890703Z,1,2024-01-27T21:38:03.17634855Z,Round 1,2024-01-27T21:38:01.86919123Z,0,2024-01-27T21:38:01.86919123Z,true,2024-01-27T21:38:03.987420397Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.86919123Z,,,,,,,,,,,,,,
01HN6DQBGDMHDG7SCM1Z8GSDS5,,2024-01-27T21:38:01.869700686Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.869700686Z,true,2024-01-27T21:38:25.472145609Z,1,2024-01-27T21:38:02.440750312Z,Round 1,2024-01-27T21:38:01.869700686Z,1,2024-01-27T21:38:01.869700686Z,true,2024-01-27T21:38:18.029276523Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.869700686Z,cowboy,2024-01-27T21:38:01.869700686Z,,,,,,,,,,,,
01HN6DQBGK248BWVV3MX9R3B50,,2024-01-27T21:38:01.876027487Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.876027487Z,true,2024-01-27T21:38:29.784885759Z,1,2024-01-27T21:38:03.207699476Z,Round 2,2024-01-27T21:38:01.876027487Z,2,2024-01-27T21:38:01.876027487Z,true,2024-01-27T21:38:25.501811982Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.876027487Z,ball,2024-01-27T21:38:01.876027487Z,,,,,,,,,,,,
01HN6DQBGQM0VSD9CMZQJCHPKV,,2024-01-27T21:38:01.879575299Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.879575299Z,true,2024-01-27T21:38:34.37580317Z,1,2024-01-27T21:38:03.241406105Z,Round 3,2024-01-27T21:38:01.879575299Z,3,2024-01-27T21:38:01.879575299Z,true,2024-01-27T21:38:29.804883519Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.879575299Z,swimmer,2024-01-27T21:38:01.879575299Z,,,,,,,,,,,,
01HN6DQBH1VXSPA44DDV1MAMBP,,2024-01-27T21:38:01.88936929Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.88936929Z,true,2024-01-27T21:38:39.301017253Z,1,2024-01-27T21:38:03.220193054Z,Round 4,2024-01-27T21:38:01.88936929Z,4,2024-01-27T21:38:01.88936929Z,true,2024-01-27T21:38:34.393687058Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.88936929Z,banana,2024-01-27T21:38:01.88936929Z,,,,,,,,,,,,
01HN6DQBHAKF8M40VRR6J2YFEX,,2024-01-27T21:38:01.898334895Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.898334895Z,true,2024-01-27T21:38:51.400497184Z,1,2024-01-27T21:38:03.241406105Z,Round 7,2024-01-27T21:38:01.898334895Z,7,2024-01-27T21:38:01.898334895Z,true,2024-01-27T21:38:48.355587688Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.898334895Z,hat,2024-01-27T21:38:01.898334895Z,,,,,,,,,,,,
01HN6DQBHBWFN993NFBMZAD7J2,,2024-01-27T21:38:01.8991701Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.8991701Z,true,2024-01-27T21:38:43.968046155Z,1,2024-01-27T21:38:03.262922208Z,Round 5,2024-01-27T21:38:01.8991701Z,5,2024-01-27T21:38:01.8991701Z,true,2024-01-27T21:38:39.323634021Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.8991701Z,waitress,2024-01-27T21:38:01.8991701Z,,,,,,,,,,,,
01HN6DQBHNSQZDQGEDW7KYYH2G,,2024-01-27T21:38:01.909809877Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.909809877Z,true,2024-01-27T21:38:48.334494018Z,1,2024-01-27T21:38:03.245725633Z,Round 6,2024-01-27T21:38:01.909809877Z,6,2024-01-27T21:38:01.909809877Z,true,2024-01-27T21:38:43.991269018Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.909809877Z,book,2024-01-27T21:38:01.909809877Z,,,,,,,,,,,,
01HN6DQBHXBSFGDYSER58H5NXN,,2024-01-27T21:38:01.917117293Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.917117293Z,true,2024-01-27T21:39:01.231825439Z,1,2024-01-27T21:38:03.317373549Z,Round 10,2024-01-27T21:38:01.917117293Z,10,2024-01-27T21:38:01.917117293Z,true,2024-01-27T21:38:58.171091457Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.917117293Z,cup,2024-01-27T21:38:01.917117293Z,,,,,,,,,,,,
01HN6DQBJ8PVF0PYETH0BFS9A1,,2024-01-27T21:38:01.928283465Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:01.928283465Z,true,2024-01-27T21:38:54.709366416Z,1,2024-01-27T21:38:03.266168212Z,Round 8,2024-01-27T21:38:01.928283465Z,8,2024-01-27T21:38:01.928283465Z,true,2024-01-27T21:38:51.419934393Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:01.928283465Z,artist,2024-01-27T21:38:01.928283465Z,,,,,,,,,,,,
