id,index,indexLastChangedAt,ended,endedLastChangedAt,roundID,roundIDLastChangedAt,timerID,timerIDLastChangedAt,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,started,startedLastChangedAt,duration,durationLastChangedAt,start,startLastChangedAt,name,nameLastChangedAt
01HN6DQC38M99K9ZV2SMKP19V8,0,2024-01-27T21:38:02.472103352Z,true,2024-01-27T21:38:25.462007595Z,01HN6DQBGDMHDG7SCM1Z8GSDS5,2024-01-27T21:38:02.472103352Z,01HN6DQBPWAYVGKM9QFYCW4A6W,2024-01-27T21:38:02.472103352Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:02.472103352Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:02.472103352Z,true,2024-01-27T21:38:18.120742505Z,10000,2024-01-27T21:38:02.472103352Z,true,2024-01-27T21:38:18.070105Z,train,2024-01-27T21:38:02.472103352Z
01HN6DQCKR6NY7Q9GVTDN8GEB9,0,2024-01-27T21:38:03.00059292Z,true,2024-01-27T21:39:08.054019817Z,01HN6DQBKAFZAB7MYDTDNYRY93,2024-01-27T21:38:03.00059292Z,01HN6DQBXBXVZP0WPZYFECRAGS,2024-01-27T21:38:03.00059292Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.00059292Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.00059292Z,true,2024-01-27T21:39:04.733311465Z,10000,2024-01-27T21:38:03.00059292Z,true,2024-01-27T21:39:04.684730364Z,train,2024-01-27T21:38:03.00059292Z
01HN6DQCKZA4QXZJ1S9FNCTT9B,0,2024-01-27T21:38:03.007763793Z,true,2024-01-27T21:39:14.220771862Z,01HN6DQBKKNTPR7BXX4ZB69T43,2024-01-27T21:38:03.007763793Z,01HN6DQBXCGKHVVV7ZM6PP0FVP,2024-01-27T21:38:03.007763793Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.007763793Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.007763793Z,true,2024-01-27T21:39:11.330169776Z,10000,2024-01-27T21:38:03.007763793Z,true,2024-01-27T21:39:11.27122491Z,train,2024-01-27T21:38:03.007763793Z
01HN6DQCN1PKA7H2PP1R4Y0DY3,0,2024-01-27T21:38:03.041874848Z,true,2024-01-27T21:39:20.757210325Z,01HN6DQBMMDWYS14X6NTXX252J,2024-01-27T21:38:03.041874848Z,01HN6DQBYKJ9SZA505AZCKWXGD,2024-01-27T21:38:03.041874848Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.041874848Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.041874848Z,true,2024-01-27T21:39:17.498327966Z,10000,2024-01-27T21:38:03.041874848Z,true,2024-01-27T21:39:17.457676391Z,train,2024-01-27T21:38:03.041874848Z
01HN6DQCNAD8181XEQAM3M3RQ1,0,2024-01-27T21:38:03.050392101Z,true,2024-01-27T21:39:25.106628671Z,01HN6DQBN4DB4AZC1DZ8X0Z3FJ,2024-01-27T21:38:03.050392101Z,01HN6DQBYN38Q869G79EH65GV6,2024-01-27T21:38:03.050392101Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.050392101Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.050392101Z,true,2024-01-27T21:39:20.875945948Z,10000,2024-01-27T21:38:03.050392101Z,true,2024-01-27T21:39:20.833855639Z,train,2024-01-27T21:38:03.050392101Z
01HN6DQCRZW3XSDQGQA0EQ4D6G,0,2024-01-27T21:38:03.167557895Z,true,2024-01-27T21:38:17.995865Z,01HN6DQBGDMHDG7SCM1HMY5Y0A,2024-01-27T21:38:03.167557895Z,01HN6DQC14GVWC06BGH93STGMZ,2024-01-27T21:38:03.167557895Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.167557895Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.167557895Z,true,2024-01-27T21:38:05.740848845Z,10000,2024-01-27T21:38:03.167557895Z,true,2024-01-27T21:38:05.700309141Z,instructions,2024-01-27T21:38:03.167557895Z
01HN6DQCT4JBHDT132W80XP9N5,0,2024-01-27T21:38:03.204904841Z,true,2024-01-27T21:38:29.769365312Z,01HN6DQBGK248BWVV3MX9R3B50,2024-01-27T21:38:03.204904841Z,01HN6DQC1DT9561N42T175Q0N7,2024-01-27T21:38:03.204904841Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.204904841Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.204904841Z,true,2024-01-27T21:38:25.614509852Z,10000,2024-01-27T21:38:03.204904841Z,true,2024-01-27T21:38:25.553200484Z,train,2024-01-27T21:38:03.204904841Z
01HN6DQCTESMD898JSX6GFQJGY,0,2024-01-27T21:38:03.214103395Z,true,2024-01-27T21:38:39.279160105Z,01HN6DQBH1VXSPA44DDV1MAMBP,2024-01-27T21:38:03.214103395Z,01HN6DQC1FBZKHWPP9DG9PCAQ4,2024-01-27T21:38:03.214103395Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.214103395Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.214103395Z,true,2024-01-27T21:38:34.46336302Z,10000,2024-01-27T21:38:03.214103395Z,true,2024-01-27T21:38:34.428159847Z,train,2024-01-27T21:38:03.214103395Z
01HN6DQCTKQ68AQ0EG9S3K0K2K,0,2024-01-27T21:38:03.219208437Z,true,2024-01-27T21:38:34.355896286Z,01HN6DQBGQM0VSD9CMZQJCHPKV,2024-01-27T21:38:03.219208437Z,01HN6DQC1FBZKHWPP9DJG6V9RC,2024-01-27T21:38:03.219208437Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.219208437Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.219208437Z,true,2024-01-27T21:38:29.892431563Z,10000,2024-01-27T21:38:03.219208437Z,true,2024-01-27T21:38:29.843297181Z,train,2024-01-27T21:38:03.219208437Z
01HN6DQCVARB970WZWKJT3NY9G,0,2024-01-27T21:38:03.242830159Z,true,2024-01-27T21:38:51.379817866Z,01HN6DQBHAKF8M40VRR6J2YFEX,2024-01-27T21:38:03.242830159Z,01HN6DQC1GARW98VNABTXHX2XK,2024-01-27T21:38:03.242830159Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.242830159Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.242830159Z,true,2024-01-27T21:38:48.482971893Z,10000,2024-01-27T21:38:03.242830159Z,true,2024-01-27T21:38:48.40868795Z,train,2024-01-27T21:38:03.242830159Z
01HN6DQCVEPDBQNF2MNV5XHY6Y,0,2024-01-27T21:38:03.24629166Z,true,2024-01-27T21:38:48.298735141Z,01HN6DQBHNSQZDQGEDW7KYYH2G,2024-01-27T21:38:03.24629166Z,01HN6DQC1RSK4XG4G63HVGKVS4,2024-01-27T21:38:03.24629166Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.24629166Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.24629166Z,true,2024-01-27T21:38:44.085357094Z,10000,2024-01-27T21:38:03.24629166Z,true,2024-01-27T21:38:44.039295689Z,train,2024-01-27T21:38:03.24629166Z
01HN6DQCVTA23XFWX9XJBEFWJ4,0,2024-01-27T21:38:03.25890931Z,true,2024-01-27T21:38:43.947803306Z,01HN6DQBHBWFN993NFBMZAD7J2,2024-01-27T21:38:03.25890931Z,01HN6DQC1ZFRDF2APHE31G5TAE,2024-01-27T21:38:03.25890931Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.25890931Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.25890931Z,true,2024-01-27T21:38:39.426663914Z,10000,2024-01-27T21:38:03.25890931Z,true,2024-01-27T21:38:39.383089928Z,train,2024-01-27T21:38:03.25890931Z
01HN6DQCW1A6SSQGAYPAJMFN6Q,0,2024-01-27T21:38:03.265050286Z,true,2024-01-27T21:38:54.693966367Z,01HN6DQBJ8PVF0PYETH0BFS9A1,2024-01-27T21:38:03.265050286Z,01HN6DQC1ZFRDF2APHE698524G,2024-01-27T21:38:03.265050286Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.265050286Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.265050286Z,true,2024-01-27T21:38:51.506503206Z,10000,2024-01-27T21:38:03.265050286Z,true,2024-01-27T21:38:51.46452703Z,train,2024-01-27T21:38:03.265050286Z
01HN6DQCX5SW5R6JC5GJ9WS9AJ,0,2024-01-27T21:38:03.301698893Z,true,2024-01-27T21:40:06.077507637Z,01HN6DQBQB3YA6NRRBX92CZRKZ,2024-01-27T21:38:03.301698893Z,01HN6DQC2E48YFZSD7ZDVZ23PB,2024-01-27T21:38:03.301698893Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.301698893Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.301698893Z,true,2024-01-27T21:40:02.662188639Z,10000,2024-01-27T21:38:03.301698893Z,true,2024-01-27T21:40:02.625146013Z,recall,2024-01-27T21:38:03.301698893Z
01HN6DQCXME275NB9G2QBSJS81,0,2024-01-27T21:38:03.316562434Z,true,2024-01-27T21:39:01.208302247Z,01HN6DQBHXBSFGDYSER58H5NXN,2024-01-27T21:38:03.316562434Z,01HN6DQC20CBJ44E4EGX8MHD49,2024-01-27T21:38:03.316562434Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.316562434Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.316562434Z,true,2024-01-27T21:38:58.241067869Z,10000,2024-01-27T21:38:03.316562434Z,true,2024-01-27T21:38:58.201367646Z,train,2024-01-27T21:38:03.316562434Z
01HN6DQCXWQBNEZSVBZTV4JES7,0,2024-01-27T21:38:03.324867141Z,true,2024-01-27T21:39:17.341315658Z,01HN6DQBJRNGADVQ6XYRF8FHDZ,2024-01-27T21:38:03.324867141Z,01HN6DQC2P8FBF3PK53DEEPHFS,2024-01-27T21:38:03.324867141Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.324867141Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.324867141Z,true,2024-01-27T21:39:14.368357506Z,10000,2024-01-27T21:38:03.324867141Z,true,2024-01-27T21:39:14.318562507Z,train,2024-01-27T21:38:03.324867141Z
01HN6DQCY4VB5KWD7QZMA7YJR2,0,2024-01-27T21:38:03.3324551Z,true,2024-01-27T21:39:37.79181714Z,01HN6DQBJKCJQ4WAGX3ZPBNAH8,2024-01-27T21:38:03.3324551Z,01HN6DQC2QW9VQH571RQ2GEHHD,2024-01-27T21:38:03.3324551Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.3324551Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.3324551Z,true,2024-01-27T21:39:32.7165491Z,10000,2024-01-27T21:38:03.3324551Z,true,2024-01-27T21:39:32.667912418Z,train,2024-01-27T21:38:03.3324551Z
01HN6DQCYA4KY4PVQAP7D6S00F,0,2024-01-27T21:38:03.339004547Z,true,2024-01-27T21:39:32.558672701Z,01HN6DQBJP5CG12DJMPJHC9CAF,2024-01-27T21:38:03.339004547Z,01HN6DQC2QW9VQH571RV21J519,2024-01-27T21:38:03.339004547Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.339004547Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.339004547Z,true,2024-01-27T21:39:29.014249647Z,10000,2024-01-27T21:38:03.339004547Z,true,2024-01-27T21:39:28.978278261Z,train,2024-01-27T21:38:03.339004547Z
01HN6DQCYEAZA80PEXRB37VZTB,0,2024-01-27T21:38:03.342577215Z,true,2024-01-27T21:38:58.140519425Z,01HN6DQBJBC7W0W9VY5R52FY4A,2024-01-27T21:38:03.342577215Z,01HN6DQC2VJB1FNM0XF5EK0GJG,2024-01-27T21:38:03.342577215Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.342577215Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.342577215Z,true,2024-01-27T21:38:54.81593762Z,10000,2024-01-27T21:38:03.342577215Z,true,2024-01-27T21:38:54.779985867Z,train,2024-01-27T21:38:03.342577215Z
01HN6DQCYQ5HM5Q9BBY5XV00K5,0,2024-01-27T21:38:03.35118242Z,true,2024-01-27T21:39:04.590344958Z,01HN6DQBJZQPYRHB5AJ95SVPMC,2024-01-27T21:38:03.35118242Z,01HN6DQC2VJB1FNM0XF7CCDESR,2024-01-27T21:38:03.35118242Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.35118242Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.35118242Z,true,2024-01-27T21:39:01.358667959Z,10000,2024-01-27T21:38:03.35118242Z,true,2024-01-27T21:39:01.305219942Z,train,2024-01-27T21:38:03.35118242Z
01HN6DQCYWKKZMGFPCZMXY0X3V,0,2024-01-27T21:38:03.356153451Z,true,2024-01-27T21:39:11.179173848Z,01HN6DQBKFHD8570E6MQB728WT,2024-01-27T21:38:03.356153451Z,01HN6DQC2XERTNWPCFK8CBN1MK,2024-01-27T21:38:03.356153451Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.356153451Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.356153451Z,true,2024-01-27T21:39:08.184742525Z,10000,2024-01-27T21:38:03.356153451Z,true,2024-01-27T21:39:08.132332073Z,train,2024-01-27T21:38:03.356153451Z
01HN6DQCZ33QE7F7KV6XWGGYQS,0,2024-01-27T21:38:03.363779598Z,true,2024-01-27T21:39:28.90848167Z,01HN6DQBKQT5CDJ6SS8B9NMFYW,2024-01-27T21:38:03.363779598Z,01HN6DQC2Y4SX71AGB7NZ7WN04,2024-01-27T21:38:03.363779598Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.363779598Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.363779598Z,true,2024-01-27T21:39:25.21465977Z,10000,2024-01-27T21:38:03.363779598Z,true,2024-01-27T21:39:25.172119236Z,train,2024-01-27T21:38:03.363779598Z
01HN6DQCZQ93WBPR2QB7E5HV7Q,0,2024-01-27T21:38:03.383208148Z,true,2024-01-27T21:39:54.132306345Z,01HN6DQBNVMCJ2HDWR7MVQMMFW,2024-01-27T21:38:03.383208148Z,01HN6DQC33F3JTJ4535BG4XZ9B,2024-01-27T21:38:03.383208148Z,01HN6C87K34PM146WKF9TH65EK,2024-01-27T21:38:03.383208148Z,01HN6C87KF59S14B1W3XFECQKP,2024-01-27T21:38:03.383208148Z,true,2024-01-27T21:39:50.472579126Z,10000,2024-01-27T21:38:03.383208148Z,true,2024-01-27T21:39:50.426288082Z,train,2024-01-27T21:38:03.383208148Z
