id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,playerID,playerIDLastChangedAt
01HN18WQJ1XRP1TJR7WEC728DH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:23.00990259Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:23.00990259Z,01HN18WNMNKB2BJB46AJEM6HC1,2024-01-25T21:37:23.00990259Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:23.00990259Z
01HN18WR1C3KSYVJA72G1ZSQQH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:23.500149183Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:23.500149183Z,01HN18WNMNKB2BJB46AJEM6HC1,2024-01-25T21:37:23.500149183Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:23.500149183Z
01HN18X9TZB89MEJRNEYKV8Z9S,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:41.727546718Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:41.727546718Z,01HN18WNMV4X51CVBDVBAFMJ0B,2024-01-25T21:37:41.727546718Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:41.727546718Z
01HN18X9V4HS0ABZ3W6TPDFNYP,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:41.73212353Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:41.73212353Z,01HN18WNMV4X51CVBDVBAFMJ0B,2024-01-25T21:37:41.73212353Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:41.73212353Z
01HN18XJ84KSV9YB0ETFZRMYD1,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:50.34025829Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:50.34025829Z,01HN18WNMZ4GT225SP6NQMWD5W,2024-01-25T21:37:50.34025829Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:50.34025829Z
01HN18XJ89HJRXC13876R2RA7C,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:50.345651586Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:50.345651586Z,01HN18WNMZ4GT225SP6NQMWD5W,2024-01-25T21:37:50.345651586Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:50.345651586Z
01HN18XTXNBH2QMJEN94HET89C,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:59.221759659Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:59.221759659Z,01HN18WNN5FJYZWPDDP6M3PF0T,2024-01-25T21:37:59.221759659Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:59.221759659Z
01HN18XTXYGTX0FC9DRYGJ3KX5,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:59.230656021Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:59.230656021Z,01HN18WNN5FJYZWPDDP6M3PF0T,2024-01-25T21:37:59.230656021Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:59.230656021Z
01HN18Y63EGFX08P4XN9K7R8H4,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:10.670152586Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:10.670152586Z,01HN18WNN9YC1K44FQE6EV3E65,2024-01-25T21:38:10.670152586Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:10.670152586Z
01HN18Y63P5SGM2XAQZM1JM6ZH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:10.678050014Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:10.678050014Z,01HN18WNN9YC1K44FQE6EV3E65,2024-01-25T21:38:10.678050014Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:10.678050014Z
01HN18YFMHSZV4AKNX282ZK8G8,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:20.43391985Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:20.43391985Z,01HN18WNNA15N5ADDEXFVH4QD0,2024-01-25T21:38:20.43391985Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:20.43391985Z
01HN18YFMSMKHK97FX3C75EK5K,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:20.441203711Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:20.441203711Z,01HN18WNNA15N5ADDEXFVH4QD0,2024-01-25T21:38:20.441203711Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:20.441203711Z
01HN18Z6P0J8GA1X7W7DX8NXY0,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:44.032262388Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:44.032262388Z,01HN18WNNCYDVVXWAWN8F6Q4QH,2024-01-25T21:38:44.032262388Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:44.032262388Z
01HN18Z6P47N3Y6Z0X566C4KYG,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:44.037014327Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:44.037014327Z,01HN18WNNCYDVVXWAWN8F6Q4QH,2024-01-25T21:38:44.037014327Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:44.037014327Z
01HN18ZA3101QKFG1FZ3GYZYZJ,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:38:47.521792633Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:38:47.521792633Z,01HN18Z7Y1QAHVMYRH58K5B87W,2024-01-25T21:38:47.521792633Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:38:47.521792633Z
01HN18ZATP4XTQJWMACFYH6ES1,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:38:48.278179589Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:38:48.278179589Z,01HN18Z7Y1QAHVMYRH58K5B87W,2024-01-25T21:38:48.278179589Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:38:48.278179589Z
01HN18ZNVH1F715ZB36DNHN2XQ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:59.56950797Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:59.56950797Z,01HN18WNNE8D4T3VBA1JWKZH15,2024-01-25T21:38:59.56950797Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:59.56950797Z
01HN18ZNVRD9HBY23S9N8RRA0E,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:59.576320854Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:59.576320854Z,01HN18WNNE8D4T3VBA1JWKZH15,2024-01-25T21:38:59.576320854Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:59.576320854Z
01HN19022K05GRQN159B2R1ZPY,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:12.083578732Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:12.083578732Z,01HN18Z7Y46XFEV6EFDAT7GWEC,2024-01-25T21:39:12.083578732Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:12.083578732Z
01HN19022TG8WK3KF77354EKTR,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:12.090048557Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:12.090048557Z,01HN18Z7Y46XFEV6EFDAT7GWEC,2024-01-25T21:39:12.090048557Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:12.090048557Z
01HN1902XE7MEEGHE4AMKBVYW5,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:12.942620149Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:12.942620149Z,01HN18WNMZ4GT225SP6595ZG36,2024-01-25T21:39:12.942620149Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:39:12.942620149Z
01HN1902XK18D2TCJR88Q5HRYP,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:12.947258064Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:12.947258064Z,01HN18WNMZ4GT225SP6595ZG36,2024-01-25T21:39:12.947258064Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:39:12.947258064Z
01HN19065K19TY66NCX8P1ERX0,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:16.275299424Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:16.275299424Z,01HN18Z7Y7ETSVTJ81FJMDJW6E,2024-01-25T21:39:16.275299424Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:39:16.275299424Z
01HN19065SCEXZEQVA1JHJQYTV,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:39:16.281116958Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:39:16.281116958Z,01HN18Z7Y7ETSVTJ81FJMDJW6E,2024-01-25T21:39:16.281116958Z,01HN18W9N55Z49RAF61J5QQHEN,2024-01-25T21:39:16.281116958Z
01HN190ADEXG1Z61V8Z893JTGA,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:20.6227283Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:20.6227283Z,01HN18WNNNESQHXFTCBGT5FJ78,2024-01-25T21:39:20.6227283Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:39:20.6227283Z
01HN190ADNB3HBK8G39CKY6FX9,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:39:20.629608777Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:39:20.629608777Z,01HN18WNNNESQHXFTCBGT5FJ78,2024-01-25T21:39:20.629608777Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:39:20.629608777Z
