id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt,submit,submitLastChangedAt
01HN18WR94W71N279BTDHHFY70,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:23.74803718Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:23.74803718Z,01HN18WNMNKB2BJB46AJEM6HC1,2024-01-25T21:37:23.74803718Z,01HN18WPC8A73Z75NC94DG90XH,2024-01-25T21:37:23.74803718Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:23.74803718Z,true,2024-01-25T21:37:41.682325565Z
01HN18WR9AFXJZKZQZ8NQR44R7,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:23.757471656Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:23.757471656Z,01HN18WNMNKB2BJB46AJEM6HC1,2024-01-25T21:37:23.757471656Z,01HN18WPC8A73Z75NC94DG90XH,2024-01-25T21:37:23.757471656Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:23.757471656Z,true,2024-01-25T21:37:40.375562392Z
01HN18X9VZ7MT5DP1XC3WT9M00,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:41.759047682Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:41.759047682Z,01HN18WNMV4X51CVBDVBAFMJ0B,2024-01-25T21:37:41.759047682Z,01HN18WPCVD4E304B6FSADFZ1F,2024-01-25T21:37:41.759047682Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:41.759047682Z,true,2024-01-25T21:37:49.809916923Z
01HN18X9W8G9GEG3RJ2811C5F5,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:41.768335822Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:41.768335822Z,01HN18WNMV4X51CVBDVBAFMJ0B,2024-01-25T21:37:41.768335822Z,01HN18WPCVD4E304B6FSADFZ1F,2024-01-25T21:37:41.768335822Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:41.768335822Z,true,2024-01-25T21:37:50.288128796Z
01HN18XJ98FYXT52MJEFV8NRVK,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:50.376616995Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:50.376616995Z,01HN18WNMZ4GT225SP6NQMWD5W,2024-01-25T21:37:50.376616995Z,01HN18WPBQSPAYFZYD45H130M7,2024-01-25T21:37:50.376616995Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:50.376616995Z,true,2024-01-25T21:37:59.175055421Z
01HN18XJ9GD4P3XNAWE792YZNX,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:50.384339905Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:50.384339905Z,01HN18WNMZ4GT225SP6NQMWD5W,2024-01-25T21:37:50.384339905Z,01HN18WPBQSPAYFZYD45H130M7,2024-01-25T21:37:50.384339905Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:50.384339905Z,true,2024-01-25T21:37:54.108721086Z
01HN18XTYWCVB6KRVE5ND5HBVA,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:59.260434079Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:59.260434079Z,01HN18WNN5FJYZWPDDP6M3PF0T,2024-01-25T21:37:59.260434079Z,01HN18WPD1WKAHKV8K3NM5ZVD7,2024-01-25T21:37:59.260434079Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:37:59.260434079Z,true,2024-01-25T21:38:10.615886661Z
01HN18XTZ2JYSNT8SJZK49WQVR,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:59.266236444Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:59.266236444Z,01HN18WNN5FJYZWPDDP6M3PF0T,2024-01-25T21:37:59.266236444Z,01HN18WPD1WKAHKV8K3NM5ZVD7,2024-01-25T21:37:59.266236444Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:37:59.266236444Z,true,2024-01-25T21:38:06.211889767Z
01HN18Y64RR0HVKYEJXGT9KF33,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:10.712209427Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:10.712209427Z,01HN18WNN9YC1K44FQE6EV3E65,2024-01-25T21:38:10.712209427Z,01HN18WPCJ1X0XMKV9YVVN5JM4,2024-01-25T21:38:10.712209427Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:10.712209427Z,true,2024-01-25T21:38:20.379808561Z
01HN18Y64Y7W9GHACZ8SJWA2G0,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:10.718949486Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:10.718949486Z,01HN18WNN9YC1K44FQE6EV3E65,2024-01-25T21:38:10.718949486Z,01HN18WPCJ1X0XMKV9YVVN5JM4,2024-01-25T21:38:10.718949486Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:10.718949486Z,true,2024-01-25T21:38:16.000526622Z
01HN18YFNXYN4WG16FXKYRWDQP,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:20.477603058Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:20.477603058Z,01HN18WNNA15N5ADDEXFVH4QD0,2024-01-25T21:38:20.477603058Z,01HN18WPC1038ZRWVHG0KJHTK0,2024-01-25T21:38:20.477603058Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:20.477603058Z,true,2024-01-25T21:38:43.983580934Z
01HN18YFP2RMCVJ2MHSXMHWRWQ,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:20.482682813Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:20.482682813Z,01HN18WNNA15N5ADDEXFVH4QD0,2024-01-25T21:38:20.482682813Z,01HN18WPC1038ZRWVHG0KJHTK0,2024-01-25T21:38:20.482682813Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:20.482682813Z,true,2024-01-25T21:38:23.487067669Z
01HN18Z6Q2TH4SNPHZH76B06AY,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:44.066120808Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:44.066120808Z,01HN18WNNCYDVVXWAWN8F6Q4QH,2024-01-25T21:38:44.066120808Z,01HN18WPBCXQP99MXGWAV6AXAX,2024-01-25T21:38:44.066120808Z,01HN18P9GQ55SW966S2SNPW44G,2024-01-25T21:38:44.066120808Z,true,2024-01-25T21:38:59.511719757Z
01HN18Z6Q7FEAYNM3RBER7JYJD,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:38:44.071128307Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:38:44.071128307Z,01HN18WNNCYDVVXWAWN8F6Q4QH,2024-01-25T21:38:44.071128307Z,01HN18WPBCXQP99MXGWAV6AXAX,2024-01-25T21:38:44.071128307Z,01HN18R46VPX0FPB25FHJFP285,2024-01-25T21:38:44.071128307Z,true,2024-01-25T21:38:46.409959951Z
01HN18ZB1PCTZJT2HZ29R8QWVV,01HN18RG2YEZZ7J81WKQN6ZJ73,2024-01-25T21:38:48.502690706Z,01HN18RG36Q7PGRC3258N7RBK0,2024-01-25T21:38:48.502690706Z,01HN18Z7Y1QAHVMYRH58K5B87W,2024-01-25T21:38:48.502690706Z,01HN18Z8SFN9BNN8T26XZ1TA2Q,2024-01-25T21:38:48.502690706Z,01HN18S4EPTM6EB1Y739PZB86V,2024-01-25T21:38:48.502690706Z,,
