id,batchID,batchIDLastChangedAt,start,startLastChangedAt,index,indexLastChangedAt,ended,endedLastChangedAt,instructions,instructionsLastChangedAt,name,nameLastChangedAt,gameID,gameIDLastChangedAt,stageIndex,stageIndexLastChangedAt,label,labelLastChangedAt,target,targetLastChangedAt,guesserOrder,guesserOrderLastChangedAt,directorOrder,directorOrderLastChangedAt,images,imagesLastChangedAt,verb,verbLastChangedAt,decision,decisionLastChangedAt
01HN18WNMNKB2BJB46AJEM6HC1,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.045771331Z,true,2024-01-25T21:37:22.267397593Z,0,2024-01-25T21:37:21.045771331Z,true,2024-01-25T21:37:41.707099288Z,train,2024-01-25T21:37:21.045771331Z,Round 1,2024-01-25T21:37:21.045771331Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.045771331Z,1,2024-01-25T21:37:21.806063924Z,,,,,,,,,,,,,,
01HN18WNMV4X51CVBDVBAFMJ0B,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.051104741Z,true,2024-01-25T21:37:41.720059793Z,1,2024-01-25T21:37:21.051104741Z,true,2024-01-25T21:37:50.318562368Z,,2024-01-25T21:37:21.051104741Z,Round 1,2024-01-25T21:37:21.051104741Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.051104741Z,1,2024-01-25T21:37:21.821405994Z,gun,2024-01-25T21:37:21.051104741Z,,,,,,,,,,,,
01HN18WNMZ4GT225SP6595ZG36,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.055210679Z,true,2024-01-25T21:39:12.936115717Z,8,2024-01-25T21:37:21.055210679Z,true,2024-01-25T21:39:20.588248142Z,,2024-01-25T21:37:21.055210679Z,Round 8,2024-01-25T21:37:21.055210679Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.055210679Z,1,2024-01-25T21:37:21.809010609Z,cowboy,2024-01-25T21:37:21.055210679Z,,,,,,,,,,,,
01HN18WNMZ4GT225SP6NQMWD5W,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.055548447Z,true,2024-01-25T21:37:50.333851691Z,2,2024-01-25T21:37:21.055548447Z,true,2024-01-25T21:37:59.199125233Z,,2024-01-25T21:37:21.055548447Z,Round 2,2024-01-25T21:37:21.055548447Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.055548447Z,1,2024-01-25T21:37:21.788622374Z,soldier,2024-01-25T21:37:21.055548447Z,,,,,,,,,,,,
01HN18WNN5FJYZWPDDP6M3PF0T,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.061773145Z,true,2024-01-25T21:37:59.215586067Z,3,2024-01-25T21:37:21.061773145Z,true,2024-01-25T21:38:10.640017479Z,,2024-01-25T21:37:21.061773145Z,Round 3,2024-01-25T21:37:21.061773145Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.061773145Z,1,2024-01-25T21:37:21.832432863Z,palette,2024-01-25T21:37:21.061773145Z,,,,,,,,,,,,
01HN18WNN9YC1K44FQE6EV3E65,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.065361438Z,true,2024-01-25T21:38:10.661860928Z,4,2024-01-25T21:37:21.065361438Z,true,2024-01-25T21:38:20.407777905Z,,2024-01-25T21:37:21.065361438Z,Round 4,2024-01-25T21:37:21.065361438Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.065361438Z,1,2024-01-25T21:37:21.809010609Z,sailor,2024-01-25T21:37:21.065361438Z,,,,,,,,,,,,
01HN18WNNA15N5ADDEXFVH4QD0,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.066543542Z,true,2024-01-25T21:38:20.425302967Z,5,2024-01-25T21:37:21.066543542Z,true,2024-01-25T21:38:44.01038047Z,,2024-01-25T21:37:21.066543542Z,Round 5,2024-01-25T21:37:21.066543542Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.066543542Z,1,2024-01-25T21:37:21.798494326Z,waitress,2024-01-25T21:37:21.066543542Z,,,,,,,,,,,,
01HN18WNNCYDVVXWAWN8F6Q4QH,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.068776852Z,true,2024-01-25T21:38:44.026169031Z,6,2024-01-25T21:37:21.068776852Z,true,2024-01-25T21:38:59.541802115Z,,2024-01-25T21:37:21.068776852Z,Round 6,2024-01-25T21:37:21.068776852Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.068776852Z,1,2024-01-25T21:37:21.777890685Z,cake,2024-01-25T21:37:21.068776852Z,,,,,,,,,,,,
01HN18WNNE8D4T3VBA1JWKZH15,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.070018066Z,true,2024-01-25T21:38:59.560640055Z,7,2024-01-25T21:37:21.070018066Z,true,2024-01-25T21:39:12.921074429Z,,2024-01-25T21:37:21.070018066Z,Round 7,2024-01-25T21:37:21.070018066Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.070018066Z,1,2024-01-25T21:37:21.833322109Z,book,2024-01-25T21:37:21.070018066Z,,,,,,,,,,,,
01HN18WNNGWWYV0WJCF1MXZC7M,01HN187YCXB60XZ0PQZWHRY6N1,2024-01-25T21:37:21.072250605Z,true,2024-01-25T21:41:12.67578516Z,17,2024-01-25T21:37:21.072250605Z,true,2024-01-25T21:41:26.632274665Z,,2024-01-25T21:37:21.072250605Z,Round 17,2024-01-25T21:37:21.072250605Z,01HN187YDF34FNAC271Z96WJRJ,2024-01-25T21:37:21.072250605Z,1,2024-01-25T21:37:21.844259545Z,pirate,2024-01-25T21:37:21.072250605Z,,,,,,,,,,,,
