trialid,phase,label,images,target,verb,informativity
1,train,soldier,NA,NA,NA,NA
2,train,burglar,NA,NA,NA,NA
3,train,boxer,NA,NA,NA,NA
4,train,ballerina,NA,NA,NA,NA
5,train,waitress,NA,NA,NA,NA
6,train,clown,NA,NA,NA,NA
7,train,sailor,NA,NA,NA,NA
8,train,swimmer,NA,NA,NA,NA
9,train,ball,NA,NA,NA,NA
10,train,book,NA,NA,NA,NA
11,train,palette,NA,NA,NA,NA
12,train,monk,NA,NA,NA,NA
13,train,doctor,NA,NA,NA,NA
14,train,chef,NA,NA,NA,NA
15,train,hat,NA,NA,NA,NA
16,train,banana,NA,NA,NA,NA
17,train,cowboy,NA,NA,NA,NA
18,train,artist,NA,NA,NA,NA
19,train,cake,NA,NA,NA,NA
20,train,apple,NA,NA,NA,NA
21,train,pirate,NA,NA,NA,NA
22,train,jug,NA,NA,NA,NA
23,train,cup,NA,NA,NA,NA
24,train,gun,NA,NA,NA,NA
1,recall,pirate,NA,NA,NA,NA
2,recall,apple,NA,NA,NA,NA
3,recall,banana,NA,NA,NA,NA
4,recall,cake,NA,NA,NA,NA
5,recall,ball,NA,NA,NA,NA
6,recall,waitress,NA,NA,NA,NA
7,recall,cup,NA,NA,NA,NA
8,recall,sailor,NA,NA,NA,NA
9,recall,swimmer,NA,NA,NA,NA
10,recall,burglar,NA,NA,NA,NA
11,recall,chef,NA,NA,NA,NA
12,recall,doctor,NA,NA,NA,NA
13,recall,boxer,NA,NA,NA,NA
14,recall,soldier,NA,NA,NA,NA
15,recall,monk,NA,NA,NA,NA
16,recall,palette,NA,NA,NA,NA
17,recall,book,NA,NA,NA,NA
18,recall,cowboy,NA,NA,NA,NA
19,recall,artist,NA,NA,NA,NA
20,recall,clown,NA,NA,NA,NA
21,recall,ballerina,NA,NA,NA,NA
22,recall,gun,NA,NA,NA,NA
23,recall,hat,NA,NA,NA,NA
24,recall,jug,NA,NA,NA,NA
1,example,The waitress dropped the banana,"chef-point (at)-clown,artist-elbow-doctor,waitress-drop-banana,pirate-eat-banana",chef-point (at)-clown,point (at),train
2,example,The chef decorated the cake,"pirate-shake-jug,ballerina-pick up-boxer,pirate-slap-burglar,chef-decorate-cake",pirate-shake-jug,shake,train
1,choice,NA,"waitress-show-apple-monk,waitress-show-cup-clown,waitress-show-apple-swimmer,waitress-show-cup-doctor",waitress-show-apple-monk,show,low
2,choice,NA,"cowboy-poke-monk,pirate-bounce-ball,ballerina-wash-gun,waitress-touch-swimmer",cowboy-poke-monk,poke,filler
3,choice,NA,"chef-laugh (at)-burglar,pirate-smile-monk,pirate-wink-sailor,waitress-run-soldier",chef-laugh (at)-burglar,laugh (at),filler
4,choice,NA,"artist-reach (for)-cup,artist-drink-cup,chef-step (on)-soldier,ballerina-hug-sailor",artist-reach (for)-cup,reach (for),filler
5,choice,NA,"artist-offer-hat-sailor,artist-offer-ball-monk,artist-offer-hat-clown,artist-offer-ball-doctor",artist-offer-hat-sailor,offer,low
6,choice,NA,"doctor-dance-cowboy,cowboy-drag-jug,waitress-kiss-swimmer,ballerina-attack-monk",doctor-dance-cowboy,dance,filler
7,choice,NA,"ballerina-throw-book-doctor,ballerina-throw-cake-soldier,ballerina-throw-banana-boxer,ballerina-throw-hat-swimmer",ballerina-throw-book-doctor,throw,control
8,choice,NA,"artist-spill-cup,waitress-open-book,cowboy-carry-swimmer,pirate-drop-cake",artist-spill-cup,spill,filler
9,choice,NA,"cowboy-kick-soldier,chef-cut-cake,ballerina-bump (into)-cake,artist-examine-cake",cowboy-kick-soldier,kick,filler
10,choice,NA,"pirate-smile-clown,waitress-peel-banana,ballerina-yell-swimmer,cowboy-take off-hat",pirate-smile-clown,smile,filler
11,choice,NA,"chef-fight-sailor,artist-sniff-cup,artist-examine-apple,chef-tickle-burglar",chef-fight-sailor,fight,filler
12,choice,NA,"pirate-drop-book,waitress-catch-doctor,artist-wash-jug,artist-wash-ball",pirate-drop-book,drop,filler
13,choice,NA,"ballerina-give-banana-sailor,ballerina-give-banana-clown,ballerina-give-banana-boxer,ballerina-give-banana-doctor",ballerina-give-banana-sailor,give,high
14,choice,NA,"pirate-sell-cake-ballerina,pirate-sell-cake-sailor,pirate-sell-cake-clown,pirate-sell-cake-doctor",pirate-sell-cake-ballerina,sell,high
15,choice,NA,"cowboy-toss-banana-clown,cowboy-toss-book-soldier,cowboy-toss-ball-monk,cowboy-toss-apple-swimmer",cowboy-toss-banana-clown,toss,control
16,choice,NA,"pirate-slap-sailor,monk-chase-boxer,ballerina-trip-boxer,pirate-clean-ball",pirate-slap-sailor,slap,filler
17,choice,NA,"ballerina-bite-apple,monk-chase-ballerina,chef-cut-apple,artist-examine-palette",ballerina-bite-apple,bite,filler
18,choice,NA,"chef-burn-hat,chef-cut-banana,artist-sniff-apple,pirate-wink-doctor",chef-burn-hat,burn,filler
