trialid,phase,label,images,target,verb,informativity
1,train,book,NA,NA,NA,NA
2,train,waitress,NA,NA,NA,NA
3,train,clown,NA,NA,NA,NA
4,train,banana,NA,NA,NA,NA
5,train,cup,NA,NA,NA,NA
6,train,palette,NA,NA,NA,NA
7,train,gun,NA,NA,NA,NA
8,train,burglar,NA,NA,NA,NA
9,train,chef,NA,NA,NA,NA
10,train,jug,NA,NA,NA,NA
11,train,pirate,NA,NA,NA,NA
12,train,sailor,NA,NA,NA,NA
13,train,monk,NA,NA,NA,NA
14,train,ball,NA,NA,NA,NA
15,train,boxer,NA,NA,NA,NA
16,train,soldier,NA,NA,NA,NA
17,train,swimmer,NA,NA,NA,NA
18,train,cowboy,NA,NA,NA,NA
19,train,doctor,NA,NA,NA,NA
20,train,apple,NA,NA,NA,NA
21,train,ballerina,NA,NA,NA,NA
22,train,cake,NA,NA,NA,NA
23,train,artist,NA,NA,NA,NA
24,train,hat,NA,NA,NA,NA
1,recall,swimmer,NA,NA,NA,NA
2,recall,cowboy,NA,NA,NA,NA
3,recall,banana,NA,NA,NA,NA
4,recall,chef,NA,NA,NA,NA
5,recall,waitress,NA,NA,NA,NA
6,recall,soldier,NA,NA,NA,NA
7,recall,cup,NA,NA,NA,NA
8,recall,monk,NA,NA,NA,NA
9,recall,book,NA,NA,NA,NA
10,recall,burglar,NA,NA,NA,NA
11,recall,artist,NA,NA,NA,NA
12,recall,apple,NA,NA,NA,NA
13,recall,doctor,NA,NA,NA,NA
14,recall,hat,NA,NA,NA,NA
15,recall,jug,NA,NA,NA,NA
16,recall,palette,NA,NA,NA,NA
17,recall,clown,NA,NA,NA,NA
18,recall,sailor,NA,NA,NA,NA
19,recall,pirate,NA,NA,NA,NA
20,recall,boxer,NA,NA,NA,NA
21,recall,ball,NA,NA,NA,NA
22,recall,cake,NA,NA,NA,NA
23,recall,ballerina,NA,NA,NA,NA
24,recall,gun,NA,NA,NA,NA
1,example,The waitress dropped the banana,"chef-point (at)-clown,artist-elbow-doctor,waitress-drop-banana,pirate-eat-banana",chef-point (at)-clown,point (at),train
2,example,The chef decorated the cake,"pirate-shake-jug,ballerina-pick up-boxer,pirate-slap-burglar,chef-decorate-cake",pirate-shake-jug,shake,train
1,choice,NA,"pirate-give-apple-soldier,pirate-give-ball-sailor,pirate-give-apple-boxer,pirate-give-ball-doctor",pirate-give-apple-soldier,give,low
2,choice,NA,"chef-laugh (at)-burglar,pirate-smile-monk,pirate-wink-sailor,waitress-run-soldier",chef-laugh (at)-burglar,laugh (at),filler
3,choice,NA,"cowboy-offer-cake-swimmer,cowboy-offer-cake-sailor,cowboy-offer-cake-boxer,cowboy-offer-cake-clown",cowboy-offer-cake-swimmer,offer,high
4,choice,NA,"doctor-dance-cowboy,cowboy-drag-jug,waitress-kiss-swimmer,ballerina-attack-monk",doctor-dance-cowboy,dance,filler
5,choice,NA,"chef-burn-hat,chef-cut-banana,artist-sniff-apple,pirate-wink-doctor",chef-burn-hat,burn,filler
6,choice,NA,"pirate-smile-clown,waitress-peel-banana,ballerina-yell-swimmer,cowboy-take off-hat",pirate-smile-clown,smile,filler
7,choice,NA,"chef-sell-cake-clown,chef-sell-book-ballerina,chef-sell-hat-doctor,chef-sell-cup-sailor",chef-sell-cake-clown,sell,control
8,choice,NA,"pirate-drop-book,waitress-catch-doctor,artist-wash-jug,artist-wash-ball",pirate-drop-book,drop,filler
9,choice,NA,"pirate-slap-sailor,monk-chase-boxer,ballerina-trip-boxer,pirate-clean-ball",pirate-slap-sailor,slap,filler
10,choice,NA,"cowboy-kick-soldier,chef-cut-cake,ballerina-bump (into)-cake,artist-examine-cake",cowboy-kick-soldier,kick,filler
11,choice,NA,"chef-fight-sailor,artist-sniff-cup,artist-examine-apple,chef-tickle-burglar",chef-fight-sailor,fight,filler
12,choice,NA,"ballerina-throw-book-doctor,ballerina-throw-cake-soldier,ballerina-throw-banana-boxer,ballerina-throw-hat-swimmer",ballerina-throw-book-doctor,throw,control
13,choice,NA,"ballerina-bite-apple,monk-chase-ballerina,chef-cut-apple,artist-examine-palette",ballerina-bite-apple,bite,filler
14,choice,NA,"artist-spill-cup,waitress-open-book,cowboy-carry-swimmer,pirate-drop-cake",artist-spill-cup,spill,filler
15,choice,NA,"chef-toss-apple-clown,chef-toss-ball-monk,chef-toss-apple-swimmer,chef-toss-ball-doctor",chef-toss-apple-clown,toss,low
16,choice,NA,"cowboy-poke-monk,pirate-bounce-ball,ballerina-wash-gun,waitress-touch-swimmer",cowboy-poke-monk,poke,filler
17,choice,NA,"waitress-show-banana-soldier,waitress-show-banana-sailor,waitress-show-banana-swimmer,waitress-show-banana-clown",waitress-show-banana-soldier,show,high
18,choice,NA,"artist-reach (for)-cup,artist-drink-cup,chef-step (on)-soldier,ballerina-hug-sailor",artist-reach (for)-cup,reach (for),filler
