trialid,phase,label,images,target,verb,informativity
1,train,swimmer,NA,NA,NA,NA
2,train,hat,NA,NA,NA,NA
3,train,cake,NA,NA,NA,NA
4,train,boxer,NA,NA,NA,NA
5,train,monk,NA,NA,NA,NA
6,train,soldier,NA,NA,NA,NA
7,train,burglar,NA,NA,NA,NA
8,train,waitress,NA,NA,NA,NA
9,train,cowboy,NA,NA,NA,NA
10,train,pirate,NA,NA,NA,NA
11,train,ballerina,NA,NA,NA,NA
12,train,apple,NA,NA,NA,NA
13,train,clown,NA,NA,NA,NA
14,train,palette,NA,NA,NA,NA
15,train,sailor,NA,NA,NA,NA
16,train,doctor,NA,NA,NA,NA
17,train,banana,NA,NA,NA,NA
18,train,jug,NA,NA,NA,NA
19,train,chef,NA,NA,NA,NA
20,train,gun,NA,NA,NA,NA
21,train,cup,NA,NA,NA,NA
22,train,book,NA,NA,NA,NA
23,train,ball,NA,NA,NA,NA
24,train,artist,NA,NA,NA,NA
1,recall,gun,NA,NA,NA,NA
2,recall,artist,NA,NA,NA,NA
3,recall,apple,NA,NA,NA,NA
4,recall,palette,NA,NA,NA,NA
5,recall,boxer,NA,NA,NA,NA
6,recall,book,NA,NA,NA,NA
7,recall,hat,NA,NA,NA,NA
8,recall,burglar,NA,NA,NA,NA
9,recall,cake,NA,NA,NA,NA
10,recall,chef,NA,NA,NA,NA
11,recall,banana,NA,NA,NA,NA
12,recall,doctor,NA,NA,NA,NA
13,recall,jug,NA,NA,NA,NA
14,recall,waitress,NA,NA,NA,NA
15,recall,sailor,NA,NA,NA,NA
16,recall,soldier,NA,NA,NA,NA
17,recall,swimmer,NA,NA,NA,NA
18,recall,cup,NA,NA,NA,NA
19,recall,ballerina,NA,NA,NA,NA
20,recall,ball,NA,NA,NA,NA
21,recall,clown,NA,NA,NA,NA
22,recall,cowboy,NA,NA,NA,NA
23,recall,pirate,NA,NA,NA,NA
24,recall,monk,NA,NA,NA,NA
1,example,NA,"chef-point (at)-clown,pirate-eat-banana,artist-elbow-doctor,waitress-drop-banana",chef-point (at)-clown,point (at),train
2,example,NA,"pirate-shake-jug,ballerina-pick up-boxer,chef-decorate-cake,pirate-slap-burglar",pirate-shake-jug,shake,train
1,choice,NA,"ballerina-sell-apple-clown,ballerina-sell-apple-sailor,ballerina-sell-apple-ballerina,ballerina-sell-apple-doctor",ballerina-sell-apple-clown,sell,high
2,choice,NA,"cowboy-carry-swimmer,ballerina-bump (into)-cake,waitress-catch-doctor,monk-chase-ballerina",cowboy-carry-swimmer,carry,filler
3,choice,NA,"pirate-smile-clown,waitress-run-soldier,pirate-wink-doctor,chef-fight-sailor",pirate-smile-clown,smile,filler
4,choice,NA,"waitress-show-apple-sailor,waitress-show-ball-soldier,waitress-show-banana-boxer,waitress-show-cup-clown",waitress-show-apple-sailor,show,control
5,choice,NA,"pirate-smile-monk,artist-sniff-apple,waitress-peel-banana,cowboy-take off-hat",pirate-smile-monk,smile,filler
6,choice,NA,"pirate-clean-ball,ballerina-trip-boxer,cowboy-poke-monk,pirate-drop-cake",pirate-clean-ball,clean,filler
7,choice,NA,"ballerina-give-apple-sailor,ballerina-give-banana-swimmer,ballerina-give-apple-doctor,ballerina-give-banana-monk",ballerina-give-apple-sailor,give,low
8,choice,NA,"ballerina-bite-apple,chef-cut-apple,cowboy-kick-soldier,chef-cut-cake",ballerina-bite-apple,bite,filler
9,choice,NA,"ballerina-throw-cake-clown,ballerina-throw-hat-sailor,ballerina-throw-banana-doctor,ballerina-throw-book-boxer",ballerina-throw-cake-clown,throw,control
10,choice,NA,"ballerina-yell-swimmer,waitress-kiss-swimmer,pirate-wink-sailor,artist-reach (for)-cup",ballerina-yell-swimmer,yell,filler
11,choice,NA,"pirate-slap-sailor,ballerina-wash-gun,pirate-drop-book,artist-examine-cake",pirate-slap-sailor,slap,filler
12,choice,NA,"doctor-dance-cowboy,ballerina-attack-monk,chef-cut-banana,artist-examine-apple",doctor-dance-cowboy,dance,filler
13,choice,NA,"chef-laugh (at)-burglar,artist-sniff-cup,ballerina-hug-sailor,artist-drink-cup",chef-laugh (at)-burglar,laugh (at),filler
14,choice,NA,"cowboy-toss-book-soldier,cowboy-toss-book-sailor,cowboy-toss-book-doctor,cowboy-toss-book-boxer",cowboy-toss-book-soldier,toss,high
15,choice,NA,"artist-examine-palette,monk-chase-boxer,artist-spill-cup,artist-wash-jug",artist-examine-palette,examine,filler
16,choice,NA,"chef-burn-hat,cowboy-drag-jug,chef-step (on)-soldier,chef-tickle-burglar",chef-burn-hat,burn,filler
17,choice,NA,"pirate-bounce-ball,waitress-touch-swimmer,artist-wash-ball,waitress-open-book",pirate-bounce-ball,bounce,filler
18,choice,NA,"cowboy-offer-cake-monk,cowboy-offer-banana-swimmer,cowboy-offer-cake-boxer,cowboy-offer-banana-doctor",cowboy-offer-cake-monk,offer,low
