prior	cost	informativity	prob
0	0	low	0
0	0.05	low	0
0	0.1	low	0
0	0.15	low	0
0	0.2	low	0
0	0.25	low	0
0	0.3	low	0
0	0.35	low	0
0	0.4	low	0
0	0.45	low	0
0	0.5	low	0
0	0.55	low	0
0	0.6	low	0
0	0.65	low	0
0	0.7	low	0
0	0.75	low	0
0.05	0	low	0.138541700643422
0.05	0.05	low	0.135739923972981
0.05	0.1	low	0.133018852197216
0.05	0.15	low	0.130379013713445
0.05	0.2	low	0.127820647894987
0.05	0.25	low	0.12534372185602
0.05	0.3	low	0.12294794834172
0.05	0.35	low	0.12063280442397
0.05	0.4	low	0.11839755070116
0.05	0.45	low	0.116241250723288
0.05	0.5	low	0.114162790389473
0.05	0.55	low	0.112160897093127
0.05	0.6	low	0.11023415841928
0.05	0.65	low	0.108381040228106
0.05	0.7	low	0.106599903987678
0.05	0.75	low	0.104889023246876
0.1	0	low	0.24336693256844
0.1	0.05	low	0.239033463749594
0.1	0.1	low	0.234804305222739
0.1	0.15	low	0.230681943192014
0.1	0.2	low	0.226668394719598
0.1	0.25	low	0.222765221721398
0.1	0.3	low	0.218973548192113
0.1	0.35	low	0.215294080179953
0.1	0.4	low	0.21172712802694
0.1	0.45	low	0.208272630397717
0.1	0.5	low	0.204930179636615
0.1	0.55	low	0.201699048017753
0.1	0.6	low	0.198578214484462
0.1	0.65	low	0.195566391510633
0.1	0.7	low	0.192662051756088
0.1	0.75	low	0.189863454229356
0.15	0	low	0.325448675874626
0.15	0.05	low	0.320272297336678
0.15	0.1	low	0.315201162814123
0.15	0.15	low	0.310239580182261
0.15	0.2	low	0.305391312766365
0.15	0.25	low	0.300659583222487
0.15	0.3	low	0.29604708226989
0.15	0.35	low	0.291555981807793
0.15	0.4	low	0.287187951909537
0.15	0.45	low	0.282944181163274
0.15	0.5	low	0.278825399818858
0.15	0.55	low	0.274831905204321
0.15	0.6	low	0.270963588890595
0.15	0.65	low	0.267219965108059
0.15	0.7	low	0.263600199951178
0.15	0.75	low	0.260103140946071
0.2	0	low	0.391464379812183
0.2	0.05	low	0.385838592326998
0.2	0.1	low	0.380310149923528
0.2	0.15	low	0.374884744946684
0.2	0.2	low	0.369567514244812
0.2	0.25	low	0.364363031862799
0.2	0.3	low	0.359275307518982
0.2	0.35	low	0.354307790502976
0.2	0.4	low	0.349463378560643
0.2	0.45	low	0.344744431278165
0.2	0.5	low	0.340152787439382
0.2	0.55	low	0.335689785808623
0.2	0.6	low	0.331356288784
0.2	0.65	low	0.327152708372019
0.2	0.7	low	0.323079033951672
0.2	0.75	low	0.319134861322934
0.25	0	low	0.445710526096679
0.25	0.05	low	0.439868663887929
0.25	0.1	low	0.434113266991114
0.25	0.15	low	0.428450995628746
0.25	0.2	low	0.422887978089388
0.25	0.25	low	0.417429793537685
0.25	0.3	low	0.412081460993408
0.25	0.35	low	0.406847434253205
0.25	0.4	low	0.401731602435391
0.25	0.45	low	0.396737295750151
0.25	0.5	low	0.391867296035984
0.25	0.55	low	0.387123851558046
0.25	0.6	low	0.38250869553498
0.25	0.65	low	0.378023067846734
0.25	0.7	low	0.373667739375504
0.25	0.75	low	0.369443038443565
0.3	0	low	0.491076994225931
0.3	0.05	low	0.485160974721272
0.3	0.1	low	0.479320079279265
0.3	0.15	low	0.473561606403472
0.3	0.2	low	0.467892362665084
0.3	0.25	low	0.462318637560151
0.3	0.3	low	0.45684618455588
0.3	0.35	low	0.451480208236428
0.3	0.4	low	0.446225357351263
0.3	0.45	low	0.441085723475081
0.3	0.5	low	0.436064844909012
0.3	0.55	low	0.431165715389391
0.3	0.6	low	0.426390797122859
0.3	0.65	low	0.421742037634756
0.3	0.7	low	0.417220889900718
0.3	0.75	low	0.412828335227843
0.35	0	low	0.529579138044325
0.35	0.05	low	0.523676565051629
0.35	0.1	low	0.517838370986617
0.35	0.15	low	0.512072248072107
0.35	0.2	low	0.506385442893492
0.35	0.25	low	0.500784725177664
0.35	0.3	low	0.495276362559211
0.35	0.35	low	0.489866101366977
0.35	0.4	low	0.484559153349599
0.35	0.45	low	0.4793601881547
0.35	0.5	low	0.474273331285281
0.35	0.55	low	0.469302167179966
0.35	0.6	low	0.46444974700205
0.35	0.65	low	0.459718600675938
0.35	0.7	low	0.455110752678206
0.35	0.75	low	0.450627741073351
0.4	0	low	0.562665326531782
0.4	0.05	low	0.556830491607434
0.4	0.1	low	0.551050283799765
0.4	0.15	low	0.545332612532873
0.4	0.2	low	0.53968498872959
0.4	0.25	low	0.534114489111194
0.4	0.3	low	0.528627726159095
0.4	0.35	low	0.523230823875553
0.4	0.4	low	0.517929399363746
0.4	0.45	low	0.51272855013869
0.4	0.5	low	0.507632846982035
0.4	0.55	low	0.502646332067887
0.4	0.6	low	0.497772522014593
0.4	0.65	low	0.493014415459888
0.4	0.7	low	0.488374504713787
0.4	0.75	low	0.483854791014893
0.45	0	low	0.591403230848584
0.45	0.05	low	0.585669475325259
0.45	0.1	low	0.579981685243241
0.45	0.15	low	0.574347861614845
0.45	0.2	low	0.568775652143685
0.45	0.25	low	0.56327231233353
0.45	0.3	low	0.557844671873664
0.45	0.35	low	0.552499106522934
0.45	0.4	low	0.547241515599073
0.45	0.45	low	0.542077305069598
0.45	0.5	low	0.537011376138428
0.45	0.55	low	0.532048119130785
0.45	0.6	low	0.527191412399594
0.45	0.65	low	0.522444625910685
0.45	0.7	low	0.517810629111997
0.45	0.75	low	0.513291802653909
0.5	0	low	0.616597192938848
0.5	0.05	low	0.610984425065821
0.5	0.1	low	0.605410014652356
0.5	0.15	low	0.599881965765524
0.5	0.2	low	0.594407971114113
0.5	0.25	low	0.588995370974735
